root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.607356 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 35756:35912, ack 1, win 501, length 156
20:32:01.607504 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 35912:36204, ack 1, win 501, length 292
20:32:01.608195 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:30584}], length 0
20:32:01.608244 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 36204:36360, ack 1, win 501, length 156
20:32:01.608364 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 36360:36652, ack 1, win 501, length 292
20:32:01.608411 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 36652:36808, ack 1, win 501, length 156
20:32:01.608422 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:32144}], length 0
20:32:01.608487 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 36808:37100, ack 1, win 501, length 292
20:32:01.608534 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 37100:37256, ack 1, win 501, length 156
20:32:01.608574 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 37256:37412, ack 1, win 501, length 156
20:32:01.608613 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 37412:37568, ack 1, win 501, length 156
20:32:01.608653 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 37568:37724, ack 1, win 501, length 156
20:32:01.608692 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 37724:37880, ack 1, win 501, length 156
20:32:01.608735 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 37880:38036, ack 1, win 501, length 156
20:32:01.608787 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 38036:38192, ack 1, win 501, length 156
20:32:01.608830 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 38192:38348, ack 1, win 501, length 156
20:32:01.608869 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 38348:38504, ack 1, win 501, length 156
20:32:01.611877 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:33236}], length 0
20:32:01.611878 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 26396, win 510, options [nop,nop,sack 1 {26552:33704}], length 0
20:32:01.611878 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 33704, win 512, length 0
20:32:01.611878 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 35756, win 512, length 0
20:32:01.611878 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 38504, win 512, length 0
20:32:01.611955 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 38504:38660, ack 1, win 501, length 156
20:32:01.612217 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 38660:39400, ack 1, win 501, length 740
20:32:01.612273 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 39400:39556, ack 1, win 501, length 156
20:32:01.612322 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 39556:39712, ack 1, win 501, length 156
20:32:01.612388 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 39712:39868, ack 1, win 501, length 156
20:32:01.612437 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 39868:40024, ack 1, win 501, length 156
20:32:01.612486 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40024:40180, ack 1, win 501, length 156
20:32:01.612534 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40180:40336, ack 1, win 501, length 156
20:32:01.612584 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40336:40492, ack 1, win 501, length 156
20:32:01.612631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40492:40648, ack 1, win 501, length 156
20:32:01.612678 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40648:40804, ack 1, win 501, length 156
20:32:01.612727 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40804:40960, ack 1, win 501, length 156
20:32:01.612775 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 40960:41116, ack 1, win 501, length 156
20:32:01.612822 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 41116:41272, ack 1, win 501, length 156
20:32:01.612868 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 41272:41428, ack 1, win 501, length 156
20:32:01.612909 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [P.], seq 1:37, ack 38504, win 512, length 36
20:32:01.612938 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 41428:41584, ack 37, win 501, length 156
20:32:01.613004 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 41584:41852, ack 37, win 501, length 268
20:32:01.613087 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 41852:42008, ack 37, win 501, length 156
20:32:01.613143 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42008:42164, ack 37, win 501, length 156
20:32:01.614518 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42164:42320, ack 37, win 501, length 156
20:32:01.614861 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42320:42476, ack 37, win 501, length 156
20:32:01.614918 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42476:42632, ack 37, win 501, length 156
20:32:01.614974 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42632:42788, ack 37, win 501, length 156
20:32:01.615024 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42788:42944, ack 37, win 501, length 156
20:32:01.615073 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 42944:43100, ack 37, win 501, length 156
20:32:01.615139 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 43100:43256, ack 37, win 501, length 156
20:32:01.615186 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 43256:43412, ack 37, win 501, length 156
20:32:01.615236 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 43412:43568, ack 37, win 501, length 156
20:32:01.615283 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 43568:43724, ack 37, win 501, length 156
20:32:01.615328 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 43724:43880, ack 37, win 501, length 156
20:32:01.615379 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 43880:44036, ack 37, win 501, length 156
20:32:01.615426 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 44036:44192, ack 37, win 501, length 156
20:32:01.615475 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 40180, win 512, length 0
20:32:01.615569 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 44192:44348, ack 37, win 501, length 156
20:32:01.615631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 44348:44644, ack 37, win 501, length 296
20:32:01.615734 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 44644:44800, ack 37, win 501, length 156
20:32:01.615786 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 44800:44956, ack 37, win 501, length 156
20:32:01.615847 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 44956:45112, ack 37, win 501, length 156
20:32:01.615899 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 45112:45268, ack 37, win 501, length 156
20:32:01.615945 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 45268:45424, ack 37, win 501, length 156
20:32:01.615991 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 45424:45580, ack 37, win 501, length 156
20:32:01.616037 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 45580:45736, ack 37, win 501, length 156
20:32:01.616190 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 40804, win 510, length 0
20:32:01.616203 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 45736:45892, ack 37, win 501, length 156
20:32:01.616268 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 45892:46152, ack 37, win 501, length 260
20:32:01.616315 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 46152:46308, ack 37, win 501, length 156
20:32:01.616375 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 46308:46464, ack 37, win 501, length 156
20:32:01.617019 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 41272, win 508, length 0
20:32:01.617032 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 46464:46620, ack 37, win 501, length 156
20:32:01.617095 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 46620:46880, ack 37, win 501, length 260
20:32:01.617144 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 46880:47036, ack 37, win 501, length 156
20:32:01.617642 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 42008, win 512, length 0
20:32:01.617653 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 47036:47192, ack 37, win 501, length 156
20:32:01.617716 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 47192:47452, ack 37, win 501, length 260
20:32:01.617764 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 47452:47608, ack 37, win 501, length 156
20:32:01.617837 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 47608:47764, ack 37, win 501, length 156
20:32:01.619249 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 45580, win 512, length 0
20:32:01.619293 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 47764:47920, ack 37, win 501, length 156
20:32:01.619419 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 47920:48180, ack 37, win 501, length 260
20:32:01.619472 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 48180:48336, ack 37, win 501, length 156
20:32:01.619541 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 47036, win 512, length 0
20:32:01.619553 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 48336:48492, ack 37, win 501, length 156
20:32:01.619623 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 48492:48752, ack 37, win 501, length 260
20:32:01.619777 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 48752:48908, ack 37, win 501, length 156
20:32:01.619936 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 48908:49064, ack 37, win 501, length 156
20:32:01.620014 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 49064:49220, ack 37, win 501, length 156
20:32:01.620092 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 49220:49376, ack 37, win 501, length 156
20:32:01.620142 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 49376:49532, ack 37, win 501, length 156
20:32:01.620200 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 49532:49688, ack 37, win 501, length 156
20:32:01.620244 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 49688:49844, ack 37, win 501, length 156
20:32:01.620291 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 49844:50000, ack 37, win 501, length 156
20:32:01.620336 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50000:50156, ack 37, win 501, length 156
20:32:01.620378 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50156:50312, ack 37, win 501, length 156
20:32:01.620419 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50312:50468, ack 37, win 501, length 156
20:32:01.620468 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50468:50624, ack 37, win 501, length 156
20:32:01.620587 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50624:50780, ack 37, win 501, length 156
20:32:01.620668 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50780:50936, ack 37, win 501, length 156
20:32:01.620718 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 50936:51092, ack 37, win 501, length 156
20:32:01.620773 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 51092:51248, ack 37, win 501, length 156
20:32:01.620833 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 51248:51404, ack 37, win 501, length 156
20:32:01.621052 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 51404:51560, ack 37, win 501, length 156
20:32:01.621138 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 51560:51716, ack 37, win 501, length 156
20:32:01.621195 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 51716:51872, ack 37, win 501, length 156
20:32:01.621238 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 51872:52028, ack 37, win 501, length 156
20:32:01.621419 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 52028:52184, ack 37, win 501, length 156
20:32:01.621560 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 52184:52340, ack 37, win 501, length 156
20:32:01.621686 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 52340:52496, ack 37, win 501, length 156
20:32:01.621714 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 47764, win 510, length 0
20:32:01.621715 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 48492, win 512, length 0
20:32:01.621770 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 49064, win 510, length 0
20:32:01.621853 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 52496:52956, ack 37, win 501, length 460
20:32:01.621927 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 52956:53112, ack 37, win 501, length 156
20:32:01.621990 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 53112:53268, ack 37, win 501, length 156
20:32:01.622274 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 53268:53424, ack 37, win 501, length 156
20:32:01.622344 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 53424:53580, ack 37, win 501, length 156
20:32:01.622432 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 53580:53736, ack 37, win 501, length 156
20:32:01.622503 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 53736:53892, ack 37, win 501, length 156
20:32:01.622546 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 53892:54048, ack 37, win 501, length 156
20:32:01.622607 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54048:54204, ack 37, win 501, length 156
20:32:01.622652 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54204:54360, ack 37, win 501, length 156
20:32:01.622692 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54360:54516, ack 37, win 501, length 156
20:32:01.622730 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54516:54672, ack 37, win 501, length 156
20:32:01.622767 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54672:54828, ack 37, win 501, length 156
20:32:01.623677 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 50312, win 512, length 0
20:32:01.623677 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 52184, win 512, length 0
20:32:01.623723 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54828:54984, ack 37, win 501, length 156
20:32:01.623870 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 54984:55340, ack 37, win 501, length 356
20:32:01.623932 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 55340:55496, ack 37, win 501, length 156
20:32:01.623975 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 55496:55652, ack 37, win 501, length 156
20:32:01.624017 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 55652:55808, ack 37, win 501, length 156
20:32:01.625157 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 55808:55964, ack 37, win 501, length 156
20:32:01.625275 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 55964:56120, ack 37, win 501, length 156
20:32:01.625342 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 56120:56276, ack 37, win 501, length 156
20:32:01.625400 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 56276:56432, ack 37, win 501, length 156
20:32:01.625457 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 56432:56588, ack 37, win 501, length 156
20:32:01.625513 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 56588:56744, ack 37, win 501, length 156
20:32:01.625565 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 56744:56900, ack 37, win 501, length 156
20:32:01.625644 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 53268, win 508, length 0
20:32:01.625670 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 53892, win 512, length 0
20:32:01.625671 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 54828, win 509, length 0
20:32:01.625773 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 56900:57360, ack 37, win 501, length 460
20:32:01.625830 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 57360:57516, ack 37, win 501, length 156
20:32:01.625883 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 57516:57672, ack 37, win 501, length 156
20:32:01.625938 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 57672:57828, ack 37, win 501, length 156
20:32:01.625972 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 55652, win 512, length 0
20:32:01.626019 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 57828:58088, ack 37, win 501, length 260
20:32:01.626305 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 58088:58244, ack 37, win 501, length 156
20:32:01.626377 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 58244:58400, ack 37, win 501, length 156
20:32:01.626432 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 58400:58556, ack 37, win 501, length 156
20:32:01.626491 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 58556:58712, ack 37, win 501, length 156
20:32:01.626574 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 58712:58868, ack 37, win 501, length 156
20:32:01.626631 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 58868:59024, ack 37, win 501, length 156
20:32:01.626687 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59024:59180, ack 37, win 501, length 156
20:32:01.626746 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59180:59336, ack 37, win 501, length 156
20:32:01.626995 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59336:59492, ack 37, win 501, length 156
20:32:01.627042 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59492:59648, ack 37, win 501, length 156
20:32:01.627080 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59648:59804, ack 37, win 501, length 156
20:32:01.627123 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59804:59960, ack 37, win 501, length 156
20:32:01.627176 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 59960:60116, ack 37, win 501, length 156
20:32:01.627229 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 60116:60272, ack 37, win 501, length 156
20:32:01.627282 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 60272:60428, ack 37, win 501, length 156
20:32:01.627325 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 60428:60584, ack 37, win 501, length 156
20:32:01.627361 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 60584:60740, ack 37, win 501, length 156
20:32:01.627435 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 60740:60896, ack 37, win 501, length 156
20:32:01.627480 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 60896:61052, ack 37, win 501, length 156
20:32:01.627533 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 61052:61208, ack 37, win 501, length 156
20:32:01.627586 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 61208:61364, ack 37, win 501, length 156
20:32:01.627642 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 61364:61520, ack 37, win 501, length 156
20:32:01.627710 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 56588, win 509, length 0
20:32:01.627733 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 61520:61676, ack 37, win 501, length 156
20:32:01.627801 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 61676:61936, ack 37, win 501, length 260
20:32:01.627856 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 61936:62092, ack 37, win 501, length 156
20:32:01.627911 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 62092:62248, ack 37, win 501, length 156
