root@comp3134-winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:36.070942 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 148262244:148262352, ack 3544080981, win 501, length 108
20:32:36.095530 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 33820, win 512, length 0
20:32:36.095592 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 35624:35788, ack 1, win 501, length 164
20:32:36.095756 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 35132, win 512, length 0
20:32:36.095861 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 35788:36480, ack 1, win 501, length 692
20:32:36.095965 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 36480:36644, ack 1, win 501, length 164
20:32:36.096032 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 35460, win 511, length 0
20:32:36.096049 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 36644:36808, ack 1, win 501, length 164
20:32:36.096117 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 36808:37076, ack 1, win 501, length 268
20:32:36.096171 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 37076:37240, ack 1, win 501, length 164
20:32:36.096227 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 37240:37404, ack 1, win 501, length 164
20:32:36.096284 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 37404:37568, ack 1, win 501, length 164
20:32:36.096381 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 37568:37732, ack 1, win 501, length 164
20:32:36.096467 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 37732:37896, ack 1, win 501, length 164
20:32:36.096543 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 37896:38060, ack 1, win 501, length 164
20:32:36.096600 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 38060:38224, ack 1, win 501, length 164
20:32:36.096657 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 38224:38388, ack 1, win 501, length 164
20:32:36.096712 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 38388:38552, ack 1, win 501, length 164
20:32:36.096766 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 38552:38716, ack 1, win 501, length 164
20:32:36.096820 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 38716:38880, ack 1, win 501, length 164
20:32:36.096873 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 38880:39044, ack 1, win 501, length 164
20:32:36.096925 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 39044:39208, ack 1, win 501, length 164
20:32:36.096975 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 39208:39372, ack 1, win 501, length 164
20:32:36.097023 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 39372:39536, ack 1, win 501, length 164
20:32:36.097074 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 39536:39700, ack 1, win 501, length 164
20:32:36.097130 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 39700:39864, ack 1, win 501, length 164
20:32:36.097205 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 39864:40028, ack 1, win 501, length 164
20:32:36.097264 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 40028:40192, ack 1, win 501, length 164
20:32:36.097320 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 40192:40356, ack 1, win 501, length 164
20:32:36.097373 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 40356:40520, ack 1, win 501, length 164
20:32:36.097425 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 40520:40684, ack 1, win 501, length 164
20:32:36.097481 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 40684:40848, ack 1, win 501, length 164
20:32:36.097531 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 40848:41012, ack 1, win 501, length 164
20:32:36.097581 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41012:41176, ack 1, win 501, length 164
20:32:36.097634 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41176:41340, ack 1, win 501, length 164
20:32:36.097686 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41340:41504, ack 1, win 501, length 164
20:32:36.097735 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41504:41668, ack 1, win 501, length 164
20:32:36.097785 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41668:41832, ack 1, win 501, length 164
20:32:36.097827 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41832:41996, ack 1, win 501, length 164
20:32:36.097865 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 41996:42160, ack 1, win 501, length 164
20:32:36.097903 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 42160:42324, ack 1, win 501, length 164
20:32:36.098004 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 42324:42488, ack 1, win 501, length 164
20:32:36.098065 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 42488:42652, ack 1, win 501, length 164
20:32:36.098125 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 42652:42816, ack 1, win 501, length 164
20:32:36.098177 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 42816:42980, ack 1, win 501, length 164
20:32:36.098218 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 42980:43144, ack 1, win 501, length 164
20:32:36.098268 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 43144:43308, ack 1, win 501, length 164
20:32:36.098322 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 43308:43472, ack 1, win 501, length 164
20:32:36.098375 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 43472:43636, ack 1, win 501, length 164
20:32:36.098679 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 43636:43800, ack 1, win 501, length 164
20:32:36.098748 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 43800:43964, ack 1, win 501, length 164
20:32:36.098821 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 43964:44128, ack 1, win 501, length 164
20:32:36.098896 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 44128:44292, ack 1, win 501, length 164
20:32:36.098941 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 36808, win 512, length 0
20:32:36.098975 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 44292:44456, ack 1, win 501, length 164
20:32:36.099039 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 38224, win 512, length 0
20:32:36.099136 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 44456:44828, ack 1, win 501, length 372
20:32:36.099225 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 44828:44992, ack 1, win 501, length 164
20:32:36.099243 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 39536, win 512, length 0
20:32:36.099331 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 44992:45260, ack 1, win 501, length 268
20:32:36.099394 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 45260:45424, ack 1, win 501, length 164
20:32:36.099446 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 45424:45588, ack 1, win 501, length 164
20:32:36.099502 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 45588:45752, ack 1, win 501, length 164
20:32:36.099553 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 45752:45916, ack 1, win 501, length 164
20:32:36.099604 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 45916:46080, ack 1, win 501, length 164
20:32:36.099671 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 46080:46244, ack 1, win 501, length 164
20:32:36.099726 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 46244:46408, ack 1, win 501, length 164
20:32:36.099784 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 46408:46572, ack 1, win 501, length 164
20:32:36.099908 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 46572:46736, ack 1, win 501, length 164
20:32:36.099970 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 46736:46900, ack 1, win 501, length 164
20:32:36.100021 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 46900:47064, ack 1, win 501, length 164
20:32:36.100080 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 47064:47228, ack 1, win 501, length 164
20:32:36.100136 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 47228:47392, ack 1, win 501, length 164
20:32:36.100187 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 47392:47556, ack 1, win 501, length 164
20:32:36.100232 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 47556:47720, ack 1, win 501, length 164
20:32:36.100271 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 47720:47884, ack 1, win 501, length 164
20:32:36.100308 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 47884:48048, ack 1, win 501, length 164
20:32:36.100352 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 48048:48212, ack 1, win 501, length 164
20:32:36.100402 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 48212:48376, ack 1, win 501, length 164
20:32:36.100454 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 48376:48540, ack 1, win 501, length 164
20:32:36.100504 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 48540:48704, ack 1, win 501, length 164
20:32:36.100556 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 48704:48868, ack 1, win 501, length 164
20:32:36.100609 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 48868:49032, ack 1, win 501, length 164
20:32:36.100662 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 49032:49196, ack 1, win 501, length 164
20:32:36.100765 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 49196:49360, ack 1, win 501, length 164
20:32:36.100832 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 49360:49524, ack 1, win 501, length 164
20:32:36.100951 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 49524:49688, ack 1, win 501, length 164
20:32:36.101008 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 49688:49852, ack 1, win 501, length 164
20:32:36.101230 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 41832, win 512, length 0
20:32:36.101230 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 44456, win 512, length 0
20:32:36.101287 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 49852:50016, ack 1, win 501, length 164
20:32:36.101328 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 45916, win 512, length 0
20:32:36.101453 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 50016:50500, ack 1, win 501, length 484
20:32:36.101498 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 50500:50664, ack 1, win 501, length 164
20:32:36.101540 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 50664:50828, ack 1, win 501, length 164
20:32:36.101579 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 50828:50992, ack 1, win 501, length 164
20:32:36.101617 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 50992:51156, ack 1, win 501, length 164
20:32:36.101667 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 51156:51320, ack 1, win 501, length 164
20:32:36.101719 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 51320:51484, ack 1, win 501, length 164
20:32:36.101774 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 51484:51648, ack 1, win 501, length 164
20:32:36.101820 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 51648:51812, ack 1, win 501, length 164
20:32:36.101864 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 51812:51976, ack 1, win 501, length 164
20:32:36.101905 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 51976:52140, ack 1, win 501, length 164
20:32:36.101943 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 52140:52304, ack 1, win 501, length 164
20:32:36.101992 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 52304:52468, ack 1, win 501, length 164
20:32:36.102032 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 52468:52632, ack 1, win 501, length 164
20:32:36.102072 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 52632:52796, ack 1, win 501, length 164
20:32:36.102117 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 52796:52960, ack 1, win 501, length 164
20:32:36.102169 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 52960:53124, ack 1, win 501, length 164
20:32:36.102213 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 53124:53288, ack 1, win 501, length 164
20:32:36.102270 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 53288:53452, ack 1, win 501, length 164
20:32:36.102317 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 53452:53616, ack 1, win 501, length 164
20:32:36.102357 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 53616:53780, ack 1, win 501, length 164
20:32:36.102528 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 53780:53944, ack 1, win 501, length 164
20:32:36.102627 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 53944:54108, ack 1, win 501, length 164
20:32:36.102759 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 54108:54272, ack 1, win 501, length 164
20:32:36.102832 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 54272:54436, ack 1, win 501, length 164
20:32:36.102915 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 54436:54600, ack 1, win 501, length 164
20:32:36.102973 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 54600:54764, ack 1, win 501, length 164
20:32:36.103029 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 54764:54928, ack 1, win 501, length 164
20:32:36.103083 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 54928:55092, ack 1, win 501, length 164
20:32:36.103139 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 55092:55256, ack 1, win 501, length 164
20:32:36.103198 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 55256:55420, ack 1, win 501, length 164
20:32:36.103255 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 55420:55584, ack 1, win 501, length 164
20:32:36.103306 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 55584:55748, ack 1, win 501, length 164
20:32:36.103365 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 55748:55912, ack 1, win 501, length 164
20:32:36.103422 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 55912:56076, ack 1, win 501, length 164
20:32:36.103489 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 56076:56240, ack 1, win 501, length 164
20:32:36.103545 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 56240:56404, ack 1, win 501, length 164
20:32:36.103623 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 56404:56568, ack 1, win 501, length 164
20:32:36.103675 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 56568:56732, ack 1, win 501, length 164
20:32:36.103695 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [P.], seq 1:37, ack 45916, win 512, length 36
20:32:36.103695 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 46900, win 509, length 0
20:32:36.103695 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 50500, win 512, length 0
20:32:36.103835 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 56732:57224, ack 37, win 501, length 492
20:32:36.103912 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 57224:57388, ack 37, win 501, length 164
20:32:36.103973 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 57388:57552, ack 37, win 501, length 164
20:32:36.104175 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 51812, win 512, length 0
20:32:36.104197 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 57552:57716, ack 37, win 501, length 164
20:32:36.104300 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 57716:57984, ack 37, win 501, length 268
20:32:36.104375 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 57984:58148, ack 37, win 501, length 164
20:32:36.104423 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 58148:58312, ack 37, win 501, length 164
20:32:36.104474 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 58312:58476, ack 37, win 501, length 164
20:32:36.104528 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 58476:58640, ack 37, win 501, length 164
20:32:36.104581 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 58640:58804, ack 37, win 501, length 164
20:32:36.104622 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 58804:58968, ack 37, win 501, length 164
20:32:36.104667 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 58968:59132, ack 37, win 501, length 164
20:32:36.104717 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 59132:59296, ack 37, win 501, length 164
20:32:36.104769 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 59296:59460, ack 37, win 501, length 164
20:32:36.104826 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 59460:59624, ack 37, win 501, length 164
20:32:36.104880 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 59624:59788, ack 37, win 501, length 164
20:32:36.104919 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 59788:59952, ack 37, win 501, length 164
20:32:36.104959 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 59952:60116, ack 37, win 501, length 164
20:32:36.104997 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 60116:60280, ack 37, win 501, length 164
20:32:36.105035 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 60280:60444, ack 37, win 501, length 164
20:32:36.105077 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 60444:60608, ack 37, win 501, length 164
20:32:36.105128 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 60608:60772, ack 37, win 501, length 164
20:32:36.105193 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 60772:60936, ack 37, win 501, length 164
20:32:36.105246 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 60936:61100, ack 37, win 501, length 164
20:32:36.105286 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 61100:61264, ack 37, win 501, length 164
20:32:36.105323 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 61264:61428, ack 37, win 501, length 164
20:32:36.105360 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 61428:61592, ack 37, win 501, length 164
20:32:36.105398 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 61592:61756, ack 37, win 501, length 164
20:32:36.105435 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 61756:61920, ack 37, win 501, length 164
20:32:36.105471 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 61920:62084, ack 37, win 501, length 164
20:32:36.105508 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 62084:62248, ack 37, win 501, length 164
